iter	Passed	Remaining
455	804	4486
456	806	4485
457	807	4483
458	809	4480
459	811	4480
460	814	4487
461	816	4486
462	818	4483
463	819	4478
464	820	4473
465	822	4470
466	823	4465
467	824	4462
468	825	4457
469	827	4451
470	828	4447
471	829	4443
472	830	4439
473	832	4438
474	834	4433
475	835	4429
476	836	4424
477	838	4422
478	839	4417
479	840	4414
480	842	4410
481	843	4405
482	845	4404
483	847	4403
484	848	4401
485	850	4398
486	860	4442
487	863	4442
488	865	4443
489	867	4445
490	869	4443
491	871	4440
492	872	4437
493	873	4433
494	875	4429
495	876	4424
496	877	4420
497	879	4419
498	881	4419
499	882	4414
500	884	4413
501	886	4409
502	887	4406
503	889	4403
504	890	4400
505	891	4395
506	893	4392
507	894	4387
508	895	4384
509	897	4381
510	898	4378
511	900	4376
512	901	4372
513	903	4368
514	904	4365
515	906	4365
516	908	4360
517	909	4357
518	910	4352
519	912	4350
520	914	4350
521	915	4346
522	916	4342
523	918	4341
524	920	4337
525	922	4337
526	924	4336
527	925	4333
528	926	4328
529	928	4327
530	930	4326
531	932	4324
532	933	4320
533	934	4317
534	938	4324
535	940	4325
536	942	4324
537	945	4327
538	947	4327
539	949	4325
540	961	4368
541	963	4368
542	965	4367
543	966	4365
544	968	4361
545	969	4359
546	971	4356
547	973	4353
548	974	4349
549	975	4344
550	976	4341
551	978	4338
552	979	4336
553	981	4332
554	982	4328
555	983	4323
556	984	4319
557	986	4315
558	987	4311
559	988	4307
560	989	4303
561	991	4299
562	992	4295
563	994	4294
564	996	4293
565	997	4290
566	998	4286
567	1001	4286
568	1002	4283
569	1004	4280
570	1005	4277
571	1007	4274
572	1008	4270
573	1010	4268
574	1011	4267
575	1014	4267
576	1015	4263
577	1016	4259
578	1017	4256
579	1019	4251
580	1020	4248
581	1022	4246
582	1023	4243
583	1024	4239
584	1026	4235
585	1028	4235
586	1029	4232
587	1030	4227
588	1031	4223
589	1033	4219
590	1034	4215
591	1035	4211
592	1036	4208
593	1038	4205
594	1039	4201
595	1040	4197
596	1041	4193
597	1043	4191
598	1044	4188
599	1046	4184
600	1047	4180
601	1048	4176
602	1049	4171
603	1050	4167
604	1052	4164
605	1053	4161
606	1054	4158
607	1055	4154
608	1057	4150
609	1058	4146
610	1059	4144
611	1061	4143
612	1063	4142
613	1064	4138
614	1066	4134
615	1067	4130
616	1068	4126
617	1069	4123
618	1071	4120
619	1072	4115
620	1073	4112
621	1074	4108
622	1076	4106
623	1077	4104
624	1079	4101
625	1080	4097
626	1081	4094
627	1083	4091
628	1084	4088
629	1086	4086
630	1087	4083
631	1088	4080
632	1090	4076
633	1091	4073
634	1093	4071
635	1094	4068
636	1095	4065
637	1097	4061
638	1098	4058
639	1100	4057
640	1101	4054
641	1103	4051
642	1104	4047
643	1105	4044
644	1106	4040
645	1108	4039
646	1110	4037
647	1112	4036
648	1113	4034
649	1115	4031
650	1116	4028
651	1117	4025
652	1119	4022
653	1120	4019
654	1121	4016
655	1123	4012
656	1124	4011
657	1126	4008
658	1127	4006
659	1129	4003
660	1130	3999
661	1131	3996
662	1132	3993
663	1134	3990
664	1135	3987
665	1136	3984
666	1138	3981
667	1139	3978
668	1141	3976
669	1142	3973
670	1144	3972
671	1145	3969
672	1147	3965
673	1148	3962
674	1149	3960
675	1151	3957
676	1152	3955
677	1154	3952
678	1155	3949
679	1156	3946
680	1158	3945
681	1160	3943
682	1161	3940
683	1163	3938
684	1164	3935
685	1165	3932
686	1167	3929
687	1168	3927
688	1170	3924
689	1171	3921
690	1172	3919
691	1174	3916
692	1175	3914
693	1177	3913
694	1179	3910
695	1180	3907
696	1181	3904
697	1183	3901
698	1184	3900
699	1186	3897
700	1187	3894
701	1188	3890
702	1190	3888
703	1191	3886
704	1193	3886
705	1195	3883
706	1196	3880
707	1197	3877
708	1199	3875
709	1200	3872
710	1201	3869
711	1203	3866
712	1204	3862
713	1205	3859
714	1207	3857
715	1208	3855
716	1210	3854
717	1211	3852
718	1213	3849
719	1214	3847
720	1216	3844
721	1217	3841
722	1219	3840
723	1221	3838
724	1223	3840
725	1226	3842
726	1228	3841
727	1230	3840
728	1233	3841
729	1234	3839
730	1236	3837
731	1238	3837
732	1241	3841
733	1244	3843
734	1249	3850
735	1251	3850
736	1253	3849
737	1255	3848
738	1258	3850
739	1263	3859
740	1268	3867
741	1272	3871
742	1278	3882
743	1282	3888
744	1283	3885
745	1285	3883
746	1286	3880
747	1289	3881
748	1292	3882
749	1293	3880
750	1294	3877
751	1296	3875
752	1298	3873
753	1299	3870
754	1300	3868
755	1302	3865
756	1304	3863
757	1306	3864
758	1309	3865
759	1310	3863
760	1312	3860
761	1313	3858
762	1315	3857
763	1317	3856
764	1318	3853
765	1320	3850
766	1321	3848
767	1323	3846
768	1325	3844
769	1326	3842
770	1328	3839
771	1329	3836
772	1331	3834
773	1332	3831
774	1333	3829
775	1335	3828
776	1337	3827
777	1339	3825
778	1340	3823
779	1342	3820
780	1344	3820
781	1346	3819
782	1348	3818
783	1350	3817
784	1352	3816
785	1354	3814
786	1356	3813
787	1357	3811
788	1359	3809
789	1361	3807
790	1362	3805
791	1364	3804
792	1366	3802
793	1368	3800
794	1369	3799
795	1372	3799
796	1373	3796
797	1375	3795
798	1376	3793
799	1378	3790
800	1379	3788
801	1381	3787
802	1383	3784
803	1384	3782
804	1386	3779
805	1387	3778
806	1389	3775
807	1390	3773
808	1392	3770
809	1393	3767
810	1394	3764
811	1396	3762
812	1397	3759
813	1398	3756
814	1400	3754
815	1402	3752
816	1404	3753
817	1405	3750
818	1407	3748
819	1408	3745
820	1410	3743
821	1412	3741
822	1413	3738
823	1414	3735
824	1415	3732
825	1417	3729
826	1418	3728
827	1420	3727
828	1422	3725
829	1423	3722
830	1425	3719
831	1426	3717
832	1427	3714
833	1429	3712
834	1430	3709
835	1431	3706
836	1434	3706
837	1435	3704
838	1437	3702
839	1438	3700
840	1440	3698
841	1442	3697
842	1445	3697
843	1446	3695
844	1447	3692
845	1450	3692
846	1451	3690
847	1453	3688
848	1454	3685
849	1455	3682
850	1457	3679
851	1458	3676
852	1459	3673
853	1460	3670
854	1462	3668
855	1463	3664
856	1464	3661
857	1465	3659
858	1467	3657
859	1469	3656
860	1470	3653
861	1471	3649
862	1472	3646
863	1473	3643
864	1475	3640
865	1476	3637
866	1477	3634
867	1478	3631
868	1479	3628
869	1481	3625
870	1482	3623
871	1484	3621
872	1485	3619
873	1487	3617
874	1488	3614
875	1489	3612
876	1491	3609
877	1492	3606
878	1493	3604
879	1494	3601
880	1496	3598
881	1497	3595
882	1498	3593
883	1500	3591
884	1502	3590
885	1503	3588
886	1505	3585
887	1506	3582
888	1507	3579
889	1508	3577
890	1509	3573
891	1511	3571
892	1512	3568
893	1513	3565
894	1514	3562
895	1516	3560
896	1518	3559
897	1519	3556
898	1520	3554
899	1522	3551
900	1523	3548
901	1524	3546
902	1526	3544
903	1527	3542
904	1529	3539
905	1530	3537
906	1532	3537
907	1534	3535
908	1536	3533
909	1537	3531
910	1539	3529
911	1541	3528
912	1542	3526
913	1544	3524
914	1545	3522
915	1547	3521
916	1549	3519
917	1551	3519
918	1553	3516
919	1554	3514
920	1556	3512
921	1557	3511
922	1559	3509
923	1561	3507
924	1563	3506
925	1565	3507
926	1568	3508
927	1570	3507
928	1572	3505
929	1574	3503
930	1575	3501
931	1576	3498
932	1579	3498
933	1581	3497
934	1583	3497
935	1585	3496
936	1587	3494
937	1588	3492
938	1589	3489
939	1591	3487
940	1592	3485
941	1594	3483
942	1596	3481
943	1598	3481
944	1600	3479
945	1602	3479
946	1603	3477
947	1605	3474
948	1606	3472
949	1607	3469
950	1609	3467
951	1610	3464
952	1611	3462
953	1613	3460
954	1614	3458
955	1616	3456
956	1618	3454
957	1619	3451
958	1620	3448
959	1621	3446
960	1623	3444
961	1624	3442
962	1626	3439
963	1627	3436
964	1628	3434
965	1630	3432
966	1632	3431
967	1633	3429
968	1635	3427
969	1636	3424
970	1637	3421
971	1639	3419
972	1640	3417
973	1641	3414
974	1642	3412
975	1644	3409
976	1645	3406
977	1646	3405
978	1648	3403
979	1650	3401
980	1651	3399
981	1653	3397
982	1654	3394
983	1655	3392
984	1657	3389
985	1658	3387
986	1659	3384
987	1660	3382
988	1662	3380
989	1664	3379
990	1665	3376
991	1667	3374
992	1668	3372
993	1670	3370
994	1671	3368
995	1672	3365
996	1674	3363
997	1675	3361
998	1677	3359
999	1679	3358
1000	1680	3356
1001	1682	3354
1002	1683	3352
1003	1685	3351
1004	1687	3349
1005	1688	3347
1006	1690	3345
1007	1691	3343
1008	1693	3341
1009	1695	3340
1010	1697	3338
1011	1698	3336
1012	1700	3334
1013	1702	3333
1014	1703	3331
1015	1705	3329
1016	1706	3327
1017	1708	3326
1018	1710	3324
1019	1711	3322
1020	1713	3321
1021	1714	3318
1022	1715	3315
1023	1717	3313
1024	1718	3310
1025	1719	3308
1026	1721	3306
1027	1722	3304
1028	1723	3302
1029	1725	3299
1030	1727	3299
1031	1729	3298
1032	1731	3296
1033	1732	3293
1034	1733	3291
1035	1735	3289
1036	1736	3287
1037	1738	3285
1038	1739	3283
1039	1741	3281
1040	1742	3279
1041	1744	3277
1042	1745	3275
1043	1747	3273
1044	1748	3272
1045	1750	3269
1046	1751	3267
1047	1753	3265
1048	1754	3262
1049	1755	3260
1050	1757	3258
1051	1758	3256
1052	1760	3254
1053	1761	3252
1054	1762	3250
1055	1764	3247
