iter	RMSE
0	0.3886291753
1	0.3810815248
2	0.3739496884
3	0.3669701613
4	0.3605063692
5	0.3537809334
6	0.3477821473
7	0.3420243816
8	0.3355734763
9	0.3290926681
10	0.3234124185
11	0.3176885383
12	0.3119061793
13	0.3066226929
14	0.3015836188
15	0.2961854053
16	0.2910712258
17	0.285979536
18	0.2816237912
19	0.2771189276
20	0.2732584259
21	0.2690398202
22	0.264956445
23	0.2610382896
24	0.2571998884
25	0.2534233297
26	0.249675803
27	0.2459867437
28	0.2425670243
29	0.2393221248
30	0.2362275421
31	0.2327357752
32	0.2297333701
33	0.2265879541
34	0.2236242151
35	0.2208082543
36	0.2177152912
37	0.2151543493
38	0.212525231
39	0.2099881094
40	0.2074953274
41	0.2049036617
42	0.2023340124
43	0.2000088877
44	0.1977325054
45	0.195518712
46	0.1935423024
47	0.1916227088
48	0.1897924096
49	0.1879272115
50	0.1860276332
51	0.1842316873
52	0.1824664451
53	0.1810896458
54	0.1792953532
55	0.1776844067
56	0.1761390194
57	0.1746371957
58	0.1729641796
59	0.171527999
60	0.1702550581
61	0.1687161315
62	0.167322216
63	0.166102787
64	0.1647094153
65	0.1633943182
66	0.1622720066
67	0.1611247543
68	0.1599694581
69	0.1587706399
70	0.1576260997
71	0.156555633
72	0.1555924766
73	0.1545210014
74	0.1534435784
75	0.1524068999
76	0.1514413007
77	0.1503838125
78	0.1495981833
79	0.1486651412
80	0.1477624164
81	0.1468443888
82	0.145984507
83	0.1451251194
84	0.1443024534
85	0.1436168896
86	0.1428381109
87	0.1420241195
88	0.1412651543
89	0.1403925344
90	0.1394792125
91	0.1388061928
92	0.138026944
93	0.1373529502
94	0.136614796
95	0.1357934874
96	0.1352574047
97	0.1347119121
98	0.1340680091
99	0.1335150433
100	0.1328457068
101	0.1322567536
102	0.1316718076
103	0.1311197391
104	0.1305408536
105	0.1299863625
106	0.1294158424
107	0.1288127643
108	0.1282692081
109	0.1277947597
110	0.1273658005
111	0.1269192717
112	0.1263123508
113	0.125864562
114	0.1254245175
115	0.1249186571
116	0.1245971145
117	0.1241060166
118	0.123640887
119	0.1232013864
120	0.1227188425
121	0.1222313144
122	0.1217235242
123	0.1212496396
124	0.1209579426
125	0.1205501186
126	0.1200318978
127	0.119602922
128	0.1192518538
